target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
<s>Link a component ID to its producing atom for DAG traceability.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3232979774475097,0.0,0.10526315789473685,0.0,0.042477649598379755,0.0
<s>Process data in batches and execute the given query.,"<s>
 * <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>",0,0.3374537825584411,0.0,0.10526315789473685,0.0,0.03983153572213393,0.0
<s>Filter property by piid.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,1.817941665649414e-05,0.0,0.15384615384615385,0.0,0.03829822761077277,0.0
<s>Save graph ontology to a separate table with {graph_name}_ontology,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2284477651119232,0.0,0.1,0.0,0.02681122678830012,0.0
<s>Adds tracing metadata to the control message and marks its completion.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.2844323217868805,0.0,0.10526315789473685,0.0,0.032374810527851586,0.0
<s>Filter OpenAPI paths to only include allowed endpoints.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4784688949584961,0.0,0.11764705882352941,0.0,0.04161614504214359,0.0
<s>Handle task completion and clean up.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.0392033904790878,0.0,0.14285714285714285,0.0,0.05978239332827782,0.0
<s>Get MIME type from format or guess from file extension.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.4864097833633423,0.0,0.10526315789473685,0.0,0.032365859509575184,0.0
<s>Proxy class to generate client from OpenAPI schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5581291317939758,0.0,0.11764705882352941,0.0,0.03352345852389566,0.0
<s>Check and install required dependencies,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.5163459181785583,0.0,0.15384615384615383,0.0,0.054561760782293973,0.0
<s>Get a tagger from the registry; raise ValueError if it doesn't exist.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.6832116842269897,0.0,0.09090909090909091,0.0,0.02385613565903991,0.0
<s>Get the type of a parameter from the schema.,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,-0.3902803957462311,0.0,0.11111111111111112,0.0,0.026233926762254965,0.0
<s>Start tracing with enhanced error handling and async support,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.3378950357437134,0.0,0.11764705882352941,0.0,0.04308815424039017,0.0
<s>Generate audio from phonemes,<s><UNK> <UNK> <UNK> <UNK> <UNK> <UNK>,0,0.4238269031047821,0.0,0.16666666666666666,0.0,0.05256050765109866,0.0
