target,raw_predictions,correctly_predicted,SIDE_score
"<s>Register a component producer if the atom is recognized , logging the process .",<s>Register a component producer,0,0.9452046155929565
<s>Execute database queries in specified data batches,<s>Process the data into a list of lists,0,0.8535065650939941
<s>Check if a property identifier exists in a cached properties list .,<s>Check if the given property exists in the database,0,0.6448768377304077
<s>Save ontology data to a database if not already present .,<s>Save the current ontology to the database,0,0.9693606495857239
<s>Create a function to add trace timestamps to control messages if configured .,<s>Build a merge function that will merge the messages,0,0.5167821049690247
<s>Filter OpenAPI schema paths to include specific HTTP methods .,<s>Filter out any endpoints that are not included in the,0,0.744259774684906
"<s>Handle task completion by logging cancellation , exceptions , or successful cleanup",<s>Handle the completion of a task,0,0.7831371426582336
<s>Determine the MIME type of an image based on its format or file extension .,<s>Get the mime type of the file,0,0.8864073753356934
"<s>Initialize proxy configuration with server details , title , and security settings .",<s>Initialize the plugin with the given name,0,0.6973403096199036
"<s>Ensure required software packages are installed , installing if necessary .",<s>Check if the given file is in the database,0,0.5613729357719421
<s>Retrieve or raise error for a specific tagger based on name matching,<s>Get a tagger from the registry,0,0.933878481388092
"<s>Determine parameter type from schema , defaulting to `` string '' if unspecified",<s>Return the first item in the list of items,0,0.8158100247383118
<s>Initialize and start a tracing process with error handling and periodic saving .,<s>Start tracing of the module,0,0.8668697476387024
<s>Convert phonetic input into audio using specified voice settings .,<s>Generate a new audio file from the given,0,0.7149819731712341
<s>Constructs a conversation context string from recent non-system messages .,<s>Build a context for a given conversation,0,0.8207000494003296
<s>Convert object attributes into a dictionary of API query parameters .,<s>Convert this object to a dict,0,0.7937440872192383
<s>Function checks for empty output and raises an error if none is found .,<s>Returns a list of all the positions in the,0,0.7912942171096802
"<s>Load or install and initialize an adaptive complexity classifier model , with error handling .",<s>Load the model from disk,0,0.725797712802887
<s>Load and return the test split of the OptiLLM benchmark dataset for evaluation .,<s>Load the data from the database,0,0.8464289903640747
<s>Initialize a swarm agent with context variables and log the setup details .,<s>Initialize the swarm with the given agent,0,0.8926897048950195
<s>Automatically discover and import processor modules from a specified directory path .,<s>Discover processors in the current directory,0,0.8291026949882507
<s>Initialize asynchronous API call tracker with rate limit monitoring .,<s>Initialize the object,0,0.4702809751033783
<s>Process test messages in batches using a model on a single GPU and store results .,<s>Infer a batch of messages from a model on a specific GPU,0,0.8784087300300598
<s>Download YouTube video to specified path using yt-dlp command .,<s>Download a video from a URL,0,0.8354398012161255
"<s>Subscribe to device state updates , raising error if device ID is invalid .",<s>Submits a new device to the server,0,0.8692536950111389
<s>Convert phonemes to audio using a specified voice and return the audio data .,<s>Generate a new audio file from a list of,0,0.6969035267829895
<s>Ensure user data directory is set for browser options,<s>Sets up the user data directory,0,0.9357007741928101
<s>Validate security configuration based on type and location constraints .,<s>Set up the data structures,0,0.6616224646568298
<s>Convert object attributes and overrides into an MCPPrompt instance .,<s>Convert this to a,0,0.8080910444259644
<s>Retrieve value from data dictionary or raise key error if missing,<s>Get the value of a given key,0,0.8886632919311523
<s>Validate polymer type and return empty MSA for a query sequence .,<s>Return a tuple of the following fields,0,0.2480996549129486
<s>The function evaluates execution success and formats web search feedback .,<s>Returns a list of all the possible positions,0,0.8020512461662292
"<s>Map and preprocess entity network data , updating progress status accordingly .",<s>Maps the network to the network associated with the given,0,0.6177894473075867
"<s>Initialize cache with specified GPU and CPU blocks , logging memory usage .",<s>Initialize the cache for the given number of GPU and CPU,0,0.9389076232910156
<s>Constructs a dictionary detailing Amazon Keyspaces service characteristics and response guidelines .,<s>Build a dictionary of the characteristics of this service,0,0.8767096996307373
<s>Generate a formatted string summarizing tokenizer and chunk parameters .,<s>Returns a string representation of the,0,0.5594764947891235
<s>Configure browser options for privacy and customization settings .,<s>Return a dictionary of the following keys,0,0.539121150970459
"<s>Ensure dimension is a positive multiple of 64 , else raise error .",<s>Validate the dimensions of a,0,0.8977264165878296
<s>Initialize a code execution context with session data and input files .,<s>Create a new instance of the given object,0,0.8091917037963867
<s>Formats GitHub PR comment with optional code and suggestion snippets .,<s>Convert a string into a string,0,0.34582778811454773
"<s>Safely store user credentials to a file , logging success or failure .",<s>Save the credentials to the file,0,0.7962585091590881
<s>Extract JSON data from a string response containing markdown code blocks .,<s>Extract the most recent data from the database,0,0.7740160226821899
<s>Extracts the target URI from an S3 object using WARC headers .,<s>Extract the target URI from the given bucket and key,0,0.8293368816375732
<s>Simulate random weather conditions for a specified city .,<s>Get the current state of the map,0,0.6200524568557739
<s>Simulate benchmark evaluation and return performance metrics .,<s>Evaluate the score for a given score,0,0.8268396854400635
<s>Configure logging levels and file naming for application logs .,<s>Define the logging level for the module,0,0.9614589214324951
<s>Convert pandas objects to native Python data structures,<s>Convert a DataFrame into a DataFrame,0,0.10731671750545502
<s>Formats a solution string using a chat service with specific strategies for consistent output .,<s>Format a solution into a string,0,0.7664062976837158
"<s>Determine client and project ID , handling development mode and errors",<s>Returns a client object for the given project,0,0.8576740622520447
"<s>Provide metadata for a custom benchmark dataset including ID , name , description , and URL .",<s>Returns a dictionary of the following keys,0,0.7703399658203125
<s>Aggregate multiple data sources into a unified dictionary representation .,<s>Convert this object to a dictionary,0,0.9005980491638184
<s>Determine fast track eligibility based on context URL and previous queries .,<s>Check if the given URL is in the cache,0,0.8136410713195801
<s>Determine token price based on specified AI model type .,<s>Return the price for a given model,0,0.38139820098876953
<s>Create and return a list and dictionary of research tools based on configuration .,<s>Return a list of all the tools in the given directory,0,0.9067915081977844
<s>Generate sub-queries from a query using a question generator with error handling .,<s>Generate a list of subqueries,0,0.8254365921020508
<s>Load and parse MCP server configurations from a JSON file into a dictionary .,<s>Load the config file,0,0.8117251992225647
"<s>Retrieve and return setting types as JSON , handling errors gracefully .",<s>Get the list of all the items,0,0.6990892887115479
<s>Configure default attention processor based on current processor types .,<s>Set the default attention processors,0,0.7006023526191711
"<s>Enforces valid state transitions for a job , logging errors on invalid attempts .",<s>Set the job state,0,0.5816364884376526
<s>Generate a unique hash for a given string identifier .,<s>Return a string representation of the hash of the given identifier,0,0.8521363735198975
<s>Function removes instructional text to isolate the question from a task string .,<s>Extract the most recent answer from the queue,0,0.7384403347969055
<s>Check if a dictionary represents a valid tool call item .,<s>Check if the given call item is in the database,0,0.8577110767364502
<s>Update dispatch mode registry with new dispatch and collect functions,<s>Update the dispatch mode,0,0.6818302869796753
<s>Process content to log text messages unless marked as done,<s>Convert a string into a tuple of,0,0.5746185779571533
<s>Add or log existing prompt in collection with optional warning,<s>Add a new prompt to the list of prompts,0,0.501800537109375
<s>Generate and save visualizations if conditions are met and dependencies are available .,<s>Create all the visualizations for this object,0,0.8751325011253357
<s>Calculate cosine similarity between two vector embeddings .,<s>Compute the cosine similarity between two vectors,0,0.9139357805252075
"<s>Remove all audio files from the specified output directory , handling errors .",<s>Delete all files in the output directory,0,0.9151638150215149
<s>Initialize a session-specific logger with JSONL file output .,<s>Setup the logger for the given session,0,0.9738739132881165
<s>Convert Python prompt modules to JSON files in a directory .,<s>Convert all files into a dictionary,0,0.1255326122045517
<s>Create a text component with markdown content and optional size and ID .,<s>Create a new object,0,0.7268292307853699
<s>Set up test environment by mocking environment variables and FirecrawlApp instance .,<s>Set up the test case class for the system tests,0,0.7656127214431763
<s>Enforces API rate limits by delaying requests if needed .,<s>Respect the rate limit,0,0.7240439653396606
<s>Remove existing Alembic configuration by deleting directory and configuration file .,<s>Clean up any existing configuration files,0,0.6928289532661438
<s>Create a personalized calendar with specified name and description .,<s>Create a custom calendar,0,0.8907520771026611
<s>Split configuration into main settings and additional parameters .,<s>Separate the create config from the config file,0,0.675376832485199
<s>Format server details into a descriptive string output,<s>Returns a string representation of the,0,0.8586915731430054
<s>Generate a structured question-answer dictionary with metadata validation .,<s>Convert a question into a question,0,0.5396111607551575
<s>Retrieve a tool by key or raise an error if not found .,<s>Get the current state of the,0,0.516951858997345
"<s>Recursively serialize data structures into a stable , sorted format .",<s>Convert a dictionary into a string,0,0.6168375015258789
<s>Register and log MCP tools in the action registry if the MCP client is active .,<s>Register all the tools in the,0,0.8358219265937805
"<s>Convert milliseconds to formatted timestamp string in hours , minutes , seconds .",<s>Convert a number to a string,0,0.7791716456413269
"<s>Retrieve configuration for specified model version , raising error if unsupported .",<s>Get the current state of the board,0,0.4779440760612488
<s>Validate and parse configuration for Snowflake Cortex Search Service details .,<s>Returns the name of the service for this database,0,0.6008431315422058
"<s>Persist FAISS index and metadata to files , converting keys for JSON compatibility .",<s>Save the index into the database,0,0.895224392414093
<s>Convert JSONL data to CSV format and save to file,<s>Convert a JSON file into a CSV file,0,0.8905887007713318
"<s>Recursively mask string values in nested structures , excluding specified keys .",<s>Recursively mask values in a dictionary,0,0.8976280689239502
"<s>Decorator issues deprecation warnings for outdated functions , suggesting replacements .",<s>Decorator for marking a field as,0,0.7890374660491943
<s>Initialize a virtual client manager with dummy branding and JavaScript handlers .,<s>Set up the test case,0,0.760139524936676
<s>Convert a string timestamp into a formatted datetime string if valid,<s>Convert a string into a string,0,0.7008329033851624
<s>Retrieve and cache skill states from a module based on a given category .,<s>Return the skill states for a given skill category,0,0.9327986836433411
<s>Logs progress updates and invokes a custom callback if available .,<s>Returns a list of all the possible,0,0.45744526386260986
