target,raw_predictions,correctly_predicted,SIDE_score,BLEU4,ROUGE_L,METEOR,ChrF,TFIDF_COS
"<s>Register a component producer if the atom is recognized , logging the process .",<s>Register a component producer,0,0.9452046155929564,0.0820849986238988,0.5555555555555556,0.3052884615384615,0.45258083410022076,0.3631100119331374
<s>Execute database queries in specified data batches,<s>Process the data into a list of lists,0,0.8535065650939941,0.028599617161713803,0.23529411764705882,0.07042253521126761,0.1607977811553993,0.07780894359285004
<s>Check if a property identifier exists in a cached properties list .,<s>Check if the given property exists in the database,0,0.6448768377304077,0.06772818714932978,0.5454545454545454,0.3811965811965813,0.40145720634899335,0.33909949983813864
<s>Save ontology data to a database if not already present .,<s>Save the current ontology to the database,0,0.969360649585724,0.025843212078756332,0.5263157894736842,0.18867924528301888,0.39992215969603323,0.28825378403927715
<s>Create a function to add trace timestamps to control messages if configured .,<s>Build a merge function that will merge the messages,0,0.5167821049690247,0.02171443014855114,0.34782608695652173,0.11904761904761907,0.276693600883511,0.0973085560939225
<s>Filter OpenAPI schema paths to include specific HTTP methods .,<s>Filter out any endpoints that are not included in the,0,0.744259774684906,0.023457495174891017,0.28571428571428564,0.10000000000000002,0.31987554585191325,0.05629715757507138
"<s>Handle task completion by logging cancellation , exceptions , or successful cleanup",<s>Handle the completion of a task,0,0.7831371426582336,0.01820109393705687,0.33333333333333326,0.13157894736842105,0.2741450808431954,0.27739622897624144
<s>Determine the MIME type of an image based on its format or file extension .,<s>Get the mime type of the file,0,0.8864073753356934,0.13863533666885183,0.5217391304347827,0.3140845070422535,0.2628677346605796,0.398042891811328
"<s>Initialize proxy configuration with server details , title , and security settings .",<s>Initialize the plugin with the given name,0,0.6973403096199036,0.016330702038618312,0.3157894736842105,0.08064516129032259,0.25038943528254076,0.11914719328677731
"<s>Ensure required software packages are installed , installing if necessary .",<s>Check if the given file is in the database,0,0.5613729357719421,0.0206052556810215,0.20000000000000004,0.046296296296296294,0.1247234837408581,0.05355095314996731
<s>Retrieve or raise error for a specific tagger based on name matching,<s>Get a tagger from the registry,0,0.933878481388092,0.01644654494941559,0.3,0.08771929824561403,0.16145616450616881,0.07357474610589511
"<s>Determine parameter type from schema , defaulting to `` string '' if unspecified",<s>Return the first item in the list of items,0,0.8158100247383118,0.0,0.09523809523809525,0.0,0.13577867403390306,0.0
<s>Initialize and start a tracing process with error handling and periodic saving .,<s>Start tracing of the module,0,0.8668697476387024,0.009216514088927538,0.3157894736842105,0.040983606557377046,0.16489926896317786,0.14583659189722664
